Link ,Vendor ,Brand ,flavors ,cans per flavor ,Cost,# of Cans ,cost per can ,,CPC,,,,,,,,,,,,,,,,,
https://www.amazon.com/Variety-Caffeine-Vitamins-Sugar-Free-Vitality/dp/B0CGY2HDKM/ref=sr_1_92?dib=eyJ2IjoiMSJ9.yA3f38q6K8NNqA32qusj_1Cq3_d3QhJl0owrcnVcfY9EwEKoNxctJfFrKLvDGRLd1xCt7LNj749twc0ro1MjBNhP1_qwD0npUPktToOFkHtOvqtv5CD1LOZ61rNp7JfQFwoyPDa4H9mhU9ynlTmh5Hhiuu_x8pZ_ydYgjuwCcT84b9saUPMVme_pqGb4mONQtZnKMDiUQlGbMoa0pVvJJ8ced8meSJs_9gqJcYcu2CeyQkHcfB3mOqE5-edITr-NHYSnfKosBJ_jTEnLYxS6Mk9T_ACJyKmlxDAT61Y3Vn8.tJwMpMytml3DL0sTCDspR2UW74ivC-DgLvYU_pilyg0&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764102734&sr=8-92&xpid=3x17F8SKbr71W&th=1,Amazon ,Omni ,3,4,23,12,$1.91,,200mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/Variety-Caffeine-Vitamins-Sugar-Free-Vitality/dp/B0DNTLP5MH/ref=sr_1_92?dib=eyJ2IjoiMSJ9.yA3f38q6K8NNqA32qusj_1Cq3_d3QhJl0owrcnVcfY9EwEKoNxctJfFrKLvDGRLd1xCt7LNj749twc0ro1MjBNhP1_qwD0npUPktToOFkHtOvqtv5CD1LOZ61rNp7JfQFwoyPDa4H9mhU9ynlTmh5Hhiuu_x8pZ_ydYgjuwCcT84b9saUPMVme_pqGb4mONQtZnKMDiUQlGbMoa0pVvJJ8ced8meSJs_9gqJcYcu2CeyQkHcfB3mOqE5-edITr-NHYSnfKosBJ_jTEnLYxS6Mk9T_ACJyKmlxDAT61Y3Vn8.tJwMpMytml3DL0sTCDspR2UW74ivC-DgLvYU_pilyg0&dib_tag=se&keywords=healthy%2Benergy%2Bdrinks&qid=1764102734&sr=8-92&xpid=3x17F8SKbr71W&th=1,Amazon ,Omni ,3,4,23,12,$1.91,,200mg ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals ,,,50,,$375,190 cans ,$1.97 pc,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals ,,,130,,$1076,556 cans ,$1.93 pc ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
